Feature,Importance
collision_year_2014,0.0033655278171897916
month_9,0.003356906030293265
collision_year_2022,0.0033554746483774956
month_8,0.003351864424450601
collision_year_2023,0.0033505035310443846
month_6,0.003339209529775276
month_11,0.003320441989703566
month_5,0.0032997410064993177
collision_year_2012,0.0032952891615517423
collision_year_2015,0.0032018809551907627
month_12,0.003187731826031537
collision_year_2016,0.003186655217515771
collision_year_2013,0.0031865011262367177
collision_year_2019,0.0031621587427014142
collision_year_2018,0.003147211203900803
month_1,0.0031167712464425425
collision_year_2021,0.003113491054502825
road_type_1.0,0.0030955155333507716
collision_year_2017,0.0030867063070234317
month_3,0.0030638505106541734
month_2,0.002999784062785072
month_4,0.0029850639664353727
did_police_officer_attend_scene_of_accident_3.0,0.00291244670627028
collision_year_2020,0.0028445250962251885
junction_control_4.0,0.002743057788950089
left_hand_drive_count_3.0,0.002728283039099146
first_road_class_5,0.002508409540380979
junction_detail_16.0,0.0024973743699613525
junction_control_2.0,0.0024044495295087688
trunk_road_flag_2.0,0.00222530889634829
trunk_road_flag_1.0,0.002217927643142629
carriageway_hazards_0.0,0.002098423752810063
pedestrian_crossing_14.0,0.0019911299032505194
most_common_casualty_type_4.0,0.0018829755711470277
pedestrian_crossing_15.0,0.0017801551261678009
police_force_20.0,0.0017573994606945556
police_force_43.0,0.0016775060559381556
police_force_42.0,0.0015885832891867975
most_common_casualty_type_11.0,0.0015878876941944516
police_force_6.0,0.0015725461012621692
police_force_13.0,0.0015330377935850127
most_common_casualty_type_19.0,0.001527039234421728
junction_detail_19.0,0.0015162750376948315
police_force_4.0,0.001515081494069603
second_road_class_4.0,0.0015062198046211367
police_force_47.0,0.0014350802363569367
police_force_44.0,0.0014282255574714475
police_force_52.0,0.0014029528768922544
pedestrian_crossing_17.0,0.0013509513778727422
police_force_46.0,0.0013249113010114807
second_road_class_5.0,0.0013226986500460376
first_road_class_1,0.0012682486725051738
police_force_45.0,0.001265946249895051
police_force_14.0,0.0012281547981105255
junction_detail_18.0,0.0011631675302057767
pedestrian_crossing_13.0,0.0011105296448986654
special_conditions_at_site_0.0,0.0010960011896208454
road_surface_conditions_4.0,0.0010907160036800687
most_common_casualty_type_8.0,0.00106037841738223
police_force_22.0,0.0010484036824590544
police_force_50.0,0.0010347771503688313
left_hand_drive_count_4.0,0.001034534667924311
weather_conditions_8.0,0.0010155676882329346
police_force_7.0,0.0010041597113168734
police_force_32.0,0.0010000592110779838
police_force_21.0,0.00099633503847895
police_force_10.0,0.0009948579409482495
police_force_31.0,0.000993599956158388
police_force_30.0,0.0009848651281677103
police_force_16.0,0.0009283885024143924
police_force_35.0,0.0009178442434532746
police_force_33.0,0.0009034152104036931
light_conditions_7.0,0.0008955367246716663
police_force_12.0,0.0008935237550520006
police_force_41.0,0.0008850849764952468
police_force_5.0,0.000871696931781633
weather_conditions_9.0,0.0008617907403997391
road_type_2.0,0.0008151356631133529
police_force_62.0,0.0008055910594472373
